区块编号,名称,代号,英文名称,描述
106/22,友谊关,YY,(Youyiguan),
107/18,昌江南,CJN,(Changjiang Nan),
107/19,东方,DF,(Dongfang),
107/20,临高,LG,(Lingao),
107/21,白龙尾岛,BL,(Bailongwei Dao),
107/22,东兴,DX,(Dongxing),
108/5,南薇西南,NWXN,(Nanwei XiNan),
108/6,南薇西,NWX,(Nanwei Xi),
108/7,西卫,XIW,(Xiwei),
108/8,万安西,WAX,(Wan’an Xi),
108/9,万安西北,WAXB,(Wan’an XiBei),
108/10,日积西,BJX,(Riji Xi),
108/17,保亭西,BTX,(Baoting Xi),
108/18,乐东,LD,(Ledong),
108/19,岭头,LT,(Lingtou),
108/20,昌江,CJ,(Changjiang),
108/21,涸州岛,WZ,(Weizhou Dao),
108/22,玉林,YL,(Yulin),
109/5,蓬勃西,PBX,(Pengbo Xi),
109/6,南薇,NW,(Nanwei),
109/7,万安南,WAN,(Wan’an Nan),
109/8,万安滩,WAT,(Wan’an Tan),
109/9,万安北,WAB,(Wan’an Bei),
109/10,日积,RJ,(Riji),
109/11,尹庆西,YQX,(Yinging Xi),
109/12,弹丸西,DWX,(Danwan Xi),
109/15,金银西,JYX,(Jinyin Xi),
109/16,保亭南,BTN,(Baoting Nan),
109/17,保亭,BT,(Baoting),
109/18,崖城,YC,(Yacheng),
109/19,崖县,YX,(Yaxian),
109/20,白沙,BS,(Baisha),
109/21,乌石,WS,(Wushi),
109/22,北海,BH,(Beihai),
110/4,蓬勃南,PBN,(Pengbo Nan),
110/5,蓬勃堡,PB,(Pengbobu),
110/6,奥援,OY,(Aoyuan),
110/7,李准南,LZN,(Lizhun Nan),
110/8,李准滩,IZT,(Lizhun Tan),
110/9,广雅滩,GY,(Guangya Tan),
110/10,广雅北,GYB,(Guangya Bei),
110/11,尹庆,YQ,(Yinging),
110/12,弹丸,DW,(Danwan),
110/13,毕生,BIS,(Bisheng),
110/14,华阳,HY,(Huayang),
110/15,金银,JY,(Jinyin),
110/16,中建西,ZJX,(Zhongjian Xi),
110/17,甘泉西,GQX,(Ganquan Xi),
110/18,陵水,LS,(Lingshui),
110/19,松涛,ST,(Songtao),
110/20,定安,DA,(Ding’an),
110/21,徐闻,XW,(Xuwen),
110/22,湛江,ZJ,(Zhanjiang),
111/4,曾母西,ZMX,(Zengmu Xi),
111/5,海宁西,HNX,(Haining Xi),
111/6,南安西,NAX,(Nan’an Xi),
111/7,北康西,BKX,(Beikang Xi),
111/8,金盾暗沙,JDA,(Jindun Ansha),
111/9,南威滩,NWT,(Nanwei Tan),
111/10,南威北,NWB,(Nanwei Bei),
111/11,大现,DAX,(Daxian),
111/12,敦谦,DQ,(Dungian),
111/13,渚碧,ZB,(Zhubi),
111/14,华光,HG,(Huaguang),
111/15,中建南,ZJN,(Zhongjian Nan),
111/16,中建岛,ZJD,(Zhongjian Dao),
111/17,甘泉岛,GQ,(Ganquan Dao),
111/18,永乐,YLE,(Yongle),
111/19,宝岛,BD,(Baodao),
111/20,琼海,QH,(Qionghai),
111/21,前山,QS,(Qianshan),
111/22,电城,DC,(Diancheng),
112/4,曾母暗沙,ZM,(Zengmu Ansha),
112/5,海宁礁,HNJ,(Haining Jiao),
112/6,南安礁,NAJ,(Nan’an Jiao),
112/7,北康暗沙,BK,(Beikang Ansha),
112/8,安波沙,ABS,(Anbo Sha),
112/9,南威东,NWD,(Nanwei Dong),
112/10,永暑礁,YS,(Yongshu Jiao),
112/11,永暑北,YSB,(Yongshu Bei),
112/12,鸿麻,HMA,(Hongma),
112/13,沙岛,SD,(ShaDao),
112/14,盘石,PS,(Panshi),
112/15,浪花南,LHN,(Ianghua Nan),
112/16,浪花礁,LHJ,(Ianghua Jiao),
112/17,永兴岛,YXD,(Yongxing Dao),
112/18,赵述,ZS,(Zhaoshu),
112/19,长昌,CC,(Changchang),
112/20,文昌,WC,(Wenchang),
112/21,阳江,YJ,(Yangjiang),
112/22,石湾,SW,(Shiwan),
113/4,曾母东,ZMD,(Zengmu Dong),
113/5,海宁东,HND,(Haining Dong),
113/6,南安东,NAD,(Nan’an Dong),
113/7,南通礁,NTJ,(Nantong Jiao),
113/8,皇路礁,HLJ,(Huanglu Jiao),
113/9,柏礁,BJ,(Baijiao),
113/10,大现礁,DXJ,(Daxian Jiao),
113/11,福录寺礁,FLS,(Fulusi Jiao),
113/12,南子,NZ,(Nanzi),
113/13,南钥,NY,(Nanyao),
113/14,永登,YD,(Yongdeng),
113/15,华夏南,HXN,(Huaxia Nan),
113/16,华夏暗沙,HXA,(Huaxia Ansha),
113/17,德宣,DEX,(Dexuan),
113/18,西沙,XS,(Xisha),
113/19,顺德,SDE,(Shunde),
113/20,开平,KP,(Kaiping),
113/21,恩平,EP,(Enping),
113/22,佛山,FS,(Feshan),
113/23,江门,JIM,(Jiangmen),
114/5,南康,NK,(Nankang),
114/6,南通东南,NTDN,(Nantong DongNan),
114/7,南通东,NTD,(Nantong Dong),
114/8,安渡滩,AD,(Andu Tan),
114/9,榆亚暗沙,YYA,(Yuya Ansha),
114/10,景宏岛,JHD,(Jinghong Dao),
114/11,太平岛,TP,(Taiping Dao),
114/12,中业岛,ZY,(Zhongye Dao),
114/13,北子,BZI,(Beizi),
114/14,郑和,ZHE,(Zhenghe),
114/15,海鸠南,HJN,(Haijiu Nan),
114/16,海鸠暗沙,HJA,(Haijiu Ansha),
114/17,比微暗沙,BW,(Biwei Ansha),
114/18,本固,BG,(Bengu),
114/19,高鹤,GH,(Gaohe),
114/20,白云,BY,(Baiyun),
114/21,番禺,PY,(Panyu),
114/22,西江,XJ,(Xijiang),
114/23,深圳,SZ,(Shenzhen),
115/7,安渡东南,ADDN,(Andu DongNan),
115/8,安渡东,ADD,(Andu Dong),
115/9,司令礁,SIJ,(Siling Jiao),
115/10,仁爱礁,RAJ,(Renai Jiao),
115/11,马欢岛,MHD,(Mahuan Dao),
115/12,西月岛,XYD,(Xiyue Dao),
115/13,双子,SZI,(Shuangzi),
115/14,中南暗沙,ZNA,(Zhongnan Ansha),
115/15,排洪,PH,(Paihong),
115/16,中沙,ZS,(Zhongsha),
115/17,隐矶滩,YJT,(Yinji Tan),
115/18,三水,SS,(Sanshui),
115/19,花县,HX,(Huaxian),
115/20,荔湾,LW,(Liwan),
115/21,流花,LH,(Liuhua),
115/22,惠州,HZ,(Huizhou),
115/23,紫金,ZIJ,(Zijin),
116/8,半月南,BYN,(Banyue Nan),
116/9,半月礁,BYJ,(Banyue Jiao),
116/10,仙宾礁,XBJ,(Xianbin Jiao),
116/11,费信岛,FX,(Feixin Dao),
116/12,礼乐滩,LYT,(Liyue Tan),
116/13,仙娥,XE,(Xian’e),
116/14,安塘,AT,(Antang),
116/15,波伏,BF,(Bofu),
116/16,玉琢,YZ,(Yuzhuo),
116/17,宪法暗沙,XFA,(Xianfa Ansha),
116/18,新会,XH,(Xinhui),
116/19,虎门,HM,(Humen),
116/20,兴宁,XN,(Xingning),
116/21,东沙,DS,(Dongsha),
116/22,陆丰,LF,(Lufeng),
116/23,海丰,HF,(Haifeng),
116/24,潮安,CA,(Chaoan),
117/10,仙宾东,XBD,(Xianbin Dong),
117/11,海马滩,HMT,(Haima Tan),
117/12,忠孝滩,ZXT,(Zhongxiao Tan),
117/13,玉诺,YN,(Yunuo),
117/14,南华,NH,(Nanhua),
117/15,黄岩南,HYN,(Huangyan Nan),
117/16,黄岩滩,HYT,(Huangyan Tan),
117/17,黄岩北,HYB,(Huangyan Bei),
117/18,四会,SH,(Sihui),
117/19,斗门,DM,(Doumen),
117/20,靖海,JH,(Jinghai),
117/21,潮州,CZ,(Chaozhou),
117/22,汕头,ST,(Shantou),
117/23,韩江,HJ,(Hanjiang),
117/24,南澳岛,,(Nan’ao Dao),
117/39,岐口,QK,(Qikou),
117/40,天津,TJ,(Tianjin),
118/11,海马东,HMD,(Haima Dong),
118/12,棕滩,ZT,(Zongtan),
118/13,舰长,JZ,(Jianzhang),
118/14,东坡,DP,(Dongpo),
118/15,都护,DH,(Duhu),
118/16,黄岩东,HYD,(Huangyan Dong),
118/17,龙川,LC,(Longchuan),
118/18,五华,WH,(Wuhua),
118/19,潮阳,CY,(Chaoyang),
118/20,澄海,CH,(Chenghai),
118/21,普宁,PN,(Puning),
118/22,揭阳,JY,(Jieyang),
118/23,大埔,DB,(Dabu),
118/24,云霄,YX,(Yunxiao),
118/25,厦门,XM,(Xiamen),
118/39,曹妃甸,CFD,(Caofeidian),
118/40,南堡,NB,(Nanbu),
119/13,舰长东,JZD,(Jianzhang Dong),
119/14,东坡东,DPD,(Dongpo Dong),
119/15,都护东,DHD,(Dahu Dong),
119/16,龙川东南,LCDN,(longchuan DongNan),
119/17,龙川东,LCD,(Longchuan Dong),
119/18,五华东,WHD,(Wuhua Dong),
119/19,彰化,ZH,(Zhanghua),
119/20,苗栗,ML,(Miaoli),
119/21,嘉义,JYI,(Jiayi),
119/22,屏东,PD,(Pingdong),
119/23,台南,TN,(Tainan),
119/24,澎湖,PHU,(Penghu),
119/25,金门,JM,(Jinmen),
119/26,福清,FQ,(Fuging),
119/27,宁德,ND,(Ningde),
119/35,连云港,LYG,(Lianyungang),
119/36,日照,RZ,(Rizhao),
119/38,垦利,KL,(Kenli),
119/39,渤中,BZ,(Bozhong),
119/40,秦皇岛,QHD,(Qinhuangdao),
120/19,彰化东,ZHD,(Zhanghua Dong),
120/20,枋寮,FL,(Fangliao),
120/21,南投,NT,(Nantou),
120/22,鹅銮鼻,ELB,(Eluanbi),
120/23,高雄,GX,(Gaoxiong),
120/24,云林,YL,(Yunlin),
120/25,台中,TZ,(Taizhong),
120/26,平潭,PT,(Pingtan),
120/27,霞浦,XP,(Xiapu),
120/28,瑞安,RA,(Rui’an),
120/31,海宁,HN,(Haining),
120/33,海安,HA,(Hai’an),
120/34,阜宁,FN,(Funing),
120/35,射阳,SY,(Sheyang),
120/36,高密,GM,(Gaomi),
120/37,青岛,QD,(Qingdao),
120/38,龙口,LK,(Longkou),
120/39,蓬莱,PL,(Penglai),
120/40,旅大,LD,(Luda),
120/41,绥中,SZ,(Suizhong),
121/21,南投东,NTD,(Nantou Dong),
121/22,小兰屿,XLY,(Xiaolan Yu),
121/23,台东,TD,(Taidong),
121/24,玉里,YLI,(Yuli),
121/25,宜兰,YIL,(Yilan),
121/26,泉州,QZ,(Quanzhou),
121/27,南平,NP,(Nanping),
121/28,丽水,LS,(Lishui),
121/29,椒江,JJ,(Jiaojiang),
121/30,奉化,FH,(Fenghua),
121/31,金山,JS,(Jinshan),
121/32,上海,SH,(Shanghai),
121/33,如东,RD,(Rudong),
121/34,常州,CZ,(Changzhou),
121/35,滨海,BH,(Binhai),
121/36,五莲,WL,(Wulian),
121/37,文登,WD,(Wendeng),
121/38,烟台,YT,(Yantai),
121/39,大连,DL,(Dalian),
121/40,金县,JX,(Jinxian),
121/41,锦州,JZ,(Jinzhou),
122/23,关山,GS,(Guanshan),
122/24,花莲,HL,(Hualian),
122/25,龟山岛,GSD,(Guishan Dao),
122/26,棉花屿,MHY,(Mianhua Yu),
122/27,福州,FZ,(Fuzhou),
122/28,温州,WZ,(Wenzhou),
122/29,金华,JH,(Jinhua),
122/30,建德,JD,(Jiande),
122/31,临安,LA,(Lin’an),
122/32,句容,JR,(Jurong),
122/33,泰兴,TX,(Taixing),
122/34,无锡,WX,(Wuxi),
122/35,八滩,BT,(Batan),
122/36,诸城,ZC,(Zhucheng),
122/37,乳山,RS,(Rushan),
122/38,威海,WH,(Weihai),
122/39,獐子岛,ZZD,(Zhangzi Dao),
122/40,庄河,ZH,(Zhuanghe),
123/26,钓鱼岛,DYD,(Diaoyu Dao),
123/27,新竹,XZ,(Xinzhu),
123/28,台北,TB,(Taihei),
123/29,诸暨,ZJ,(Zhuji),
123/30,萧山,XS,(Xiaoshan),
123/31,余杭,YH,(Yuhang),
123/32,丹阳,DY,(Danyang),
123/33,镇江,ZJ,(Zhenjiang),
123/34,苏州,SZ,(Suzhou),
123/35,黄桥,HQ,(Huanggiao),
123/36,即墨,JM,(Jimo),
123/37,荣城,RC,(Rongcheng),
123/38,威海东,WHD,(Weihai Dong),
123/39,长山,CS,(Changshan),
123/40,孤山,GS,(Gushan),
124/26,赤尾屿,CWY,(Chiwei Yu),
124/27,桃园,TY,(Taoyuan),
124/28,基隆,JL,(Jilong),
124/29,天台,TT,(Tiantai),
124/30,绍兴,SX,(Shaoxing),
124/31,富阳,FY,(Fuyang),
124/32,昆山,KS,(Kunshan),
124/33,宝山,BS,(Baoshan),
124/38,长山东南,CSDN,(Changshan DongNan),
124/39,长山东,CSD,(Changshan Dong),
124/40,东沟,DG,(Donggou),
125/28,永嘉,YJ,(Yongjia),
125/29,黄岩,HY,(Huangyan),
125/30,宁波,NB,(Ningbo),
125/31,杭州,HZ,(Hangzhou),
125/32,江宁,JN,(Jiangning),
126/29,宁海,NH,(Ninghai),
126/30,镇海,ZH,(Zhenhai),
126/31,嘉兴,JX,(Jiaxing),
126/32,崇明,CM,(Chongming),
127/30,三门,SM,(Sanmen),
127/31,文成,WC,(Wencheng),
新增/315,涠洲,WZD,(涠洲),新增/315 - 涠洲
